"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 18 21:00:50 UTC 2026","Mon May 18 21:00:50 UTC 2026","105","","TC-094: Удаление photo","","org.izuum.jsonPlaceholder.apiTests.deleteDataTests.DeletePhotoTest","checkStatusCodeOfDeletePhoto","TC-094: Статус-код 200",""
"passed","Mon May 18 21:00:48 UTC 2026","Mon May 18 21:00:48 UTC 2026","124","","TC-011: Получение коллекции users","","org.izuum.jsonPlaceholder.apiTests.smokeTests.GetCollectionOfUsersTest","getRequestCheckElementsHasFields","TC-011: Элементы содержат поля id, name, username, email, address, phone, website и company",""
"passed","Mon May 18 21:00:49 UTC 2026","Mon May 18 21:00:49 UTC 2026","76","","TC-010: Получение todo по id","","org.izuum.jsonPlaceholder.apiTests.smokeTests.GetToDoByIdTest","getRequestCheckStatusCode","TC-010: Статус-код 200",""
"passed","Mon May 18 21:00:55 UTC 2026","Mon May 18 21:00:55 UTC 2026","134","","TC-054: Запрос Album с несуществующим id","","org.izuum.jsonPlaceholder.apiTests.negativeReadTests.GetAlbumByNotExistsIdTest","checkExpectedNotServerError","TC-054: Статус-код не 5хх",""
"passed","Mon May 18 21:00:49 UTC 2026","Mon May 18 21:00:49 UTC 2026","65","","TC-008: Получение photo по id","","org.izuum.jsonPlaceholder.apiTests.smokeTests.GetPhotoByIdTest","getRequestCheckIdOfObject","TC-008: id объекта равен 1",""
"passed","Mon May 18 21:00:58 UTC 2026","Mon May 18 21:00:59 UTC 2026","77","","TC-028: Фильтрация photos по albumId","","org.izuum.jsonPlaceholder.apiTests.filterQueryParamTests.FilteringPhotosByAlbumIdTest","getRequestCheckStatusCode","TC-028: Статус-код 200",""
"passed","Mon May 18 21:00:58 UTC 2026","Mon May 18 21:00:58 UTC 2026","70","","TC-026: Фильтрация comments по postId","","org.izuum.jsonPlaceholder.apiTests.filterQueryParamTests.FilteringCommentsByPostIdTest","getRequestCheckStatusCode","TC-026: Статус-код 200",""
"passed","Mon May 18 21:00:51 UTC 2026","Mon May 18 21:00:51 UTC 2026","108","","TC-072: Создание todos с полем completed=true","","org.izuum.jsonPlaceholder.apiTests.createResources.CreateTodosWithCompletedIsTrueTest","checkThatSuccessCreateTodosWithCompletedIsTrue","TC-072: Успешное создание mock-create",""
"passed","Mon May 18 21:00:59 UTC 2026","Mon May 18 21:00:59 UTC 2026","75","","TC-028: Фильтрация photos по albumId","","org.izuum.jsonPlaceholder.apiTests.filterQueryParamTests.FilteringPhotosByAlbumIdTest","checkThaTAllElementsOfPhotosHasSpecificAlbumId","TC-028: Каждый photo содержит albumId = 1",""
"passed","Mon May 18 21:00:51 UTC 2026","Mon May 18 21:00:51 UTC 2026","103","","TC-068:(БАГ) Создание post с невалидным JSON Payload","","org.izuum.jsonPlaceholder.apiTests.createResources.CreatePostWithInvalidJsonPayloadTest","checkThatClientAndServerHandlesErrorCorrectly","TC-068:(БАГ) Клиент/сервер корректно обрабатывает ошибку [2] ""{ \""title\"": \""test\"" """,""
